#Ch. # 	 t 	 E(t) 	 A_0 	 E(A_0) 	 t_p 	 E(t_p) 	 k3 	 E(k3) 	 k4 	 E(k4) 	 k5 	 E(k5) 	 k6 	 E(k6) 	 Chi2/DOF
2464	4.974209495	0.01036502125	59050.89078	6627.058724	2.321545283	0.02917065351	1.274887979	0.02065527068	3.120555191	0.6741932317	8.706899605	1.740231568	3.124659328	0.6799205139	9.451859907
2465	5.039094849	0.008934037081	90562.22185	745.9031873	2.152866813	0.0102177629	1.211814476	0.02456212494	1.519488809	0.03052711804	0.03161785484	0.001998758534	0.034113171	0.002104197026	4.393122761
2466	5.01190182	0.008648465801	84423.90818	704.8217982	2.250408402	0.01093941183	0.5393403722	0.01300609515	0.8301038462	0.01901426028	0.539191967	0.01300037054	0.4236862752	0.00558898448	4.14687674
2467	5.024174541	0.008185873544	82145.33359	506.9081865	2.145957982	0.008770693712	0.4828921475	0.008020589906	0.7006699601	0.01077278808	0.4828976235	0.008020760362	0.3759945891	0.003624681919	4.596712397
2468	5.086162734	0.009131070262	76914.69977	449.5456761	2.073026167	0.007247621086	0.1374592877	0.003599369448	0.0972710808	0.001972476318	0.05400038273	0.0009556220228	0.09727216018	0.001971477172	3.950971195
2469	5.017005301	0.009201317571	81939.07445	1283.563567	2.14517814	0.0156584613	0.7904421576	0.05783917227	0.913485279	0.08469906334	0.05174137106	0.002812155119	0.04792870567	0.002602190682	1.969163104
2470	5.042430989	0.00889042528	88611.09247	1062.945371	2.225766895	0.01030263863	1.139214373	0.02592919385	1.436723485	0.03256083321	0.006506059493	0.001981887062	0.007993364551	0.002051976412	1.880886262
2471	5.033859364	0.009006078872	89717.25743	407.4764378	2.165243729	0.00995970688	1.130466847	0.01912588576	1.427121576	0.02543554777	0.04997601741	0.002564448159	0.05166818893	0.002643465916	5.233370727
2472	5.041448888	0.00886481438	88569.12462	290.2539856	2.214075503	0.009442704953	1.160335651	0.02219088132	1.460811287	0.02910227108	0.02219370436	0.005590277228	0.02248855565	0.005623785111	5.816593492
2473	5.004443355	0.009140928656	84807.54716	1703.333996	2.185909941	0.0183768368	0.7823739913	0.0492653977	0.957080592	0.08455640725	0.05922364399	0.002536601616	0.05333637988	0.002257421941	2.945654019
2474	5.029476721	0.009319268615	80992.23711	1099.277936	2.207071772	0.0153149628	0.6524181738	0.04894048848	0.7670231472	0.06967240088	0.07892282272	0.003325419032	0.07268406392	0.002945514117	2.864240106
2475	5.060290469	0.01049776549	83520.03553	19786.16624	2.210971148	0.02181844064	1.422076427	0.03665846363	2.24997272	0.238142594	1240464.399	2447278.949	937217.7119	920303.796	7.85861903
2476	5.021572289	0.008687352456	88996.03565	400.1236447	2.206856833	0.009528190253	1.041628656	0.01664312927	1.336760191	0.02362677339	0.04276449347	0.005726504832	0.04181666863	0.005626715532	7.792894335
2477	5.08461619	0.008959432779	74864.91405	452.9798398	2.016190175	0.007065576903	0.1132417515	0.004831479119	0.08780084541	0.01261916924	0.0574243567	0.001623029605	0.08780207227	0.0110919689	3.716605121
2478	4.985905393	0.01087742581	59645.57019	21618.28471	2.279740156	0.02994311562	9.530278859	2.140601534	3.350446557	0.6638951709	1.343293441	0.02181947133	3.353738424	0.7339659015	7.757865419
2479	5.02905427	0.009247450919	85858.97813	571.741382	2.173348164	0.01064046923	1.156133894	0.02391470707	1.458582674	0.0300540529	0.02861414819	0.001812888024	0.03129718115	0.001916751204	4.051236534
2480	5.03633845	0.008683594275	89234.03355	310.5522185	2.186930306	0.009532096539	1.145968325	0.02045833391	1.452305088	0.02718823299	0.01336474882	0.006051659598	0.01360809067	0.006089637106	7.591382586
2481	5.023335216	0.009253883958	79708.85985	1393.092115	2.156732622	0.01687526999	0.8198661262	0.05311065741	0.9720713247	0.08392314509	0.09015619106	0.00561620902	0.08680643554	0.005306719622	4.275060447
2482	4.989984705	0.009918383704	58892.93406	18357.64524	2.253483804	0.02537608085	1.371258969	0.0223919119	3.265111772	0.5374924619	8.951499751	1.676164938	3.265210436	0.537320988	7.448666957
2483	5.011945928	0.008401839773	80620.1096	605.3127288	2.186745264	0.01044230632	0.6300974456	0.01149322223	0.916972217	0.01660971296	0.629968752	0.01148907394	0.5215331977	0.00591504821	6.630286854
2484	5.049745518	0.009202663536	89046.25525	1831.771122	2.164166737	0.01107506898	1.359548264	0.03959818088	1.677341292	0.04526828487	0.03053884979	0.001179975723	0.03575096232	0.001309128719	4.890974063
2485	5.019600016	0.008538608132	85484.05269	1086.777687	2.202404195	0.009788914052	0.6668584017	0.1540075125	1.082293332	0.01865007149	0.6668590008	0.1540141324	0.5288166265	0.01089376197	5.77749479
2486	5.011492398	0.008924337878	86776.05925	3083.632617	2.225467245	0.02402996251	0.9106628367	0.06764248254	1.164867622	0.1377513198	0.09131409834	0.008690090489	0.08826229847	0.008259285831	3.69888406
2487	5.012482186	0.009122637964	81920.73671	965.8564326	2.183688582	0.01424418084	0.5719706158	0.1799263779	0.8775263554	0.04067553842	0.571953848	0.1798264405	0.4509890476	0.01369307685	6.456199139
2488	5.036296957	0.009026122202	87929.17875	1249.168517	2.184578402	0.01090436563	1.183928268	0.02861132693	1.488268775	0.03446431881	0.04159378221	0.001685297848	0.04587525986	0.001828869713	3.11669791
2489	5.021859419	0.008198839031	88692.07289	901.1271173	2.205450465	0.008864890991	0.7710781856	0.01882146728	1.184333436	0.01606718016	0.77087299	0.01881392936	0.6418856163	0.008877992844	5.373436658
2490	5.012919991	0.00930355626	79013.98316	795.3425757	2.165100919	0.01339064053	0.5972301181	0.03802499376	0.7000806378	0.05224878595	0.06291222835	0.002736831817	0.05514176167	0.002330867381	1.372259507
2491	5.044206927	0.009125601675	88454.18516	981.2758364	2.164011831	0.01074174638	1.28450471	0.03140014019	1.595484421	0.03685736769	0.04670630454	0.001520617958	0.05096740959	0.001645124484	6.164749075
2492	5.019398232	0.008948510401	77229.60779	455.3722984	2.144955338	0.009502547772	0.3400334613	0.007260491531	0.4782140496	0.01310154942	0.3399478189	0.007257346489	0.2613111821	0.005454864276	4.187801629
2493	5.045772443	0.009081385729	87622.41745	957.942941	2.15662101	0.01040157499	1.228858737	0.02798671377	1.536299883	0.0340425999	0.0783138273	0.003906520218	0.08091617109	0.004061895063	6.578252593
2494	5.034890129	0.009374890696	87494.71488	1297.740867	2.183089225	0.01105031947	1.225517045	0.03052509244	1.52813477	0.03609430296	0.03230762667	0.001514876413	0.03682816454	0.001659635334	2.963908256
2495	5.038342936	0.00913107555	88290.32265	1634.329574	2.164373553	0.01087096166	1.346430734	0.04119875343	1.673297965	0.04818324693	0.04154769593	0.001738056552	0.04463430626	0.001842997112	5.280586737
2496	5.030496251	0.009423678147	79403.07228	988.3307227	2.14997971	0.01508081824	0.6585819421	0.04805827019	0.769909454	0.06743389937	0.08798428633	0.003640102282	0.08143150593	0.003213411905	5.178622361
2497	5.027108045	0.00890550752	87879.88421	643.9209443	2.183691443	0.01005838456	1.169137712	0.02348196868	1.476299769	0.03004364761	0.02977523591	0.002933645949	0.03078577018	0.002996458726	5.697669303
2498	5.040066052	0.008816059271	86916.42978	262.345614	2.181505868	0.009505052391	1.127054433	0.01902420144	1.429538045	0.02588161781	0.02393466233	0.00775635104	0.02418484524	0.007797676109	6.588166873
2499	5.017623646	0.009281413871	79676.80984	1005.407546	2.154691092	0.01409799803	0.6832838778	0.04909193071	0.795780398	0.06860022033	0.07953439123	0.003085268226	0.07248632749	0.002701608772	2.765484106
2500	5.021655535	0.009085199218	78443.81746	679.5736808	2.160001766	0.01250882653	0.543063174	0.03149432379	0.6408846334	0.04276160992	0.06426766674	0.002463103004	0.05427696263	0.001997081964	2.001622214
2501	5.082830271	0.00917544444	75085.94377	454.8009867	2.024012234	0.007245831738	0.1314331539	0.004219859665	0.09969920463	0.00249199149	0.06353127414	0.001317328066	0.09968955882	0.002497997703	5.371074072
2502	5.043893838	0.008779752983	87369.71843	269.1744793	2.16332777	0.009095245682	1.19822414	0.02042911266	1.505864874	0.02765634574	-0.03378314608	0.01086189709	-0.03375423748	0.01087250262	7.418472256
2503	5.030053997	0.00759506969	87174.71901	342.9670838	2.188226628	0.0079752651	1.152065494	0.01303021322	1.303431973	0.02353794566	1.152440152	0.02043217501	1.303517379	0.05124987203	6.910427652
2504	5.073841134	0.008897961074	80397.83518	4782.287593	2.205830427	0.0125512865	1.412411112	0.02330715854	2.206856424	0.1050858212	118192.9773	7336.103084	89170.06728	5410.931366	8.408211143
2505	5.045315944	0.009368216718	86737.51419	2439.653577	2.157761218	0.01134618762	1.346622291	0.03866739282	1.670406832	0.04443332824	0.03444659639	0.001427247197	0.03924882876	0.001568539713	3.942285665
2506	5.026604009	0.00834008679	87699.34936	1287.897043	2.209669907	0.009160941609	0.9901143094	0.01674210225	1.281156127	0.02398333452	0.08318482593	0.005255488153	0.08057750308	0.005050952006	3.291949933
2507	5.031673434	0.009223000961	77710.29214	689.5322765	2.126550081	0.0125826289	0.5460154985	0.04128190514	0.6287031387	0.05262631226	0.09333458775	0.003583721103	0.08353063682	0.002951031432	2.432276029
2508	5.053549534	0.008646695324	87219.12798	210.7768406	2.158137093	0.009053994368	1.151226079	0.01770514769	1.452448715	0.02480571728	-0.0003186396482	0.01115580594	-0.0002540278754	0.01117331333	5.767138302
2509	5.01598371	0.009225498708	77621.04913	639.0827603	2.147752666	0.01207340287	0.5436002081	0.03468395511	0.6290256217	0.04500243477	0.05889363509	0.0024280777	0.04965673084	0.001994445446	1.995286982
2510	5.08542701	0.009255682804	75294.14747	451.4191944	2.031985843	0.007302078122	0.1339955205	0.004383173993	0.1018830124	0.002567262329	0.0649124664	0.001333564207	0.1018452568	0.002585406223	4.543832145
2511	5.032237229	0.008557069631	77063.1731	448.7444853	2.125061699	0.007798484413	0.3467043915	0.005532609491	0.5021325736	0.006409179068	0.3466328964	0.005531026956	0.2575191912	0.002304797488	8.481175526
2512	5.018138444	0.008468915322	88431.31108	2702.260144	2.189967787	0.009647945442	1.000118712	0.01747754795	1.297641531	0.02416881754	0.1262113517	0.009838952227	0.123445535	0.009523347343	5.498056793
