#Ch. # 	 t 	 E(t) 	 A_0 	 E(A_0) 	 t_p 	 E(t_p) 	 Chi2/DOF
5124	5.062165371	0.009151101692	72576.15695	463.4902443	2.031729039	0.008216528255	13.75446745
5125	5.074499309	0.008919285686	73269.7391	461.0999885	2.052466621	0.00819179368	12.05822487
5126	5.054267391	0.009440291184	72681.94627	465.607375	2.036121789	0.008368674786	7.761815603
5127	5.071009868	0.009170816637	72962.93177	462.1845955	2.051186589	0.008304320148	8.367490876
5128	5.06503646	0.009268595687	73014.90234	465.4483577	2.028376906	0.008223826877	11.46600792
5129	5.064686433	0.009293935156	72765.55032	462.4873952	2.058070051	0.008421284271	10.3803969
5130	5.059211843	0.009325006056	73517.78926	468.7126003	2.027326801	0.008242675637	13.57136139
5131	5.069440072	0.008990782886	73850.88157	467.5473637	2.019835301	0.008042200948	10.53440549
5132	5.065842418	0.008930088511	73780.24573	466.6062933	2.026419981	0.008058877473	10.03105177
5133	5.060284598	0.009225127767	73892.25211	469.8761767	2.020562459	0.008150560862	12.52303756
5134	5.060424331	0.009153969972	73585.0359	467.4435876	2.031355079	0.00819382439	9.378372818
5135	5.055927965	0.009159985369	74392.56957	470.9154622	2.025891862	0.00813240831	13.20623734
5136	5.060361926	0.009174321376	73827.52863	468.5832527	2.028703707	0.008174496774	9.430969897
5137	5.064775706	0.008948802311	74757.40313	470.7281903	2.023198304	0.008027615735	11.49678232
5138	5.063490159	0.009007482646	74295.50657	468.4217013	2.029862521	0.008077997708	15.51686306
5139	5.057003427	0.009181864601	74223.31778	470.5773731	2.023690467	0.008135083969	11.26216225
5140	5.072666054	0.009040623477	74603.25893	461.3870968	2.107204686	0.008530347108	13.18557708
5141	5.080456938	0.009185306275	72085.32648	459.8068822	2.036787432	0.008259415053	8.827806372
5142	5.060599866	0.00936796776	74836.6739	464.6549577	2.118071231	0.008745588953	9.932755566
5143	5.066996892	0.009433093109	72552.26281	463.5308143	2.044398812	0.008397569399	11.58281429
5144	5.06095898	0.009620798101	74306.928	465.2262124	2.117080915	0.008884511302	11.97791933
5145	5.06272806	0.009152334334	72731.89969	461.23319	2.061035669	0.008384884383	11.38957224
5146	5.062628812	0.009408463608	74804.62369	464.5319922	2.12137215	0.008791175267	10.04953345
5147	5.062254186	0.00931789724	72116.18855	460.7209847	2.055764266	0.008441681307	13.88521542
